timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime
1706787279368,1421,Schema,200,OK,Schema 1-1,text,true,,18009,1,7,https://qa-ford.emplifiknowledge.com/graphql/schema,1419,0
1706787280187,815,Schema,200,OK,Schema 1-1,text,true,,18010,1,7,https://qa-ford.emplifiknowledge.com/graphql/schema,814,0
1706787280937,749,Schema,200,OK,Schema 1-1,text,true,,18009,1,7,https://qa-ford.emplifiknowledge.com/graphql/schema,748,0
1706787280731,1523,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5796,1,7,https://qa-ford.emplifiknowledge.com/graphql,1523,0
1706787281524,2324,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,116497,1,7,https://qa-ford.emplifiknowledge.com/graphql,1945,0
1706787281640,702,Schema,200,OK,Schema 1-1,text,true,,18009,1,7,https://qa-ford.emplifiknowledge.com/graphql/schema,702,0
1706787281834,762,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5593,1,7,https://qa-ford.emplifiknowledge.com/graphql,762,0
1706787282307,666,Schema,200,OK,Schema 1-1,text,true,,18009,1,7,https://qa-ford.emplifiknowledge.com/graphql/schema,666,0
1706787282333,786,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,96346,1,7,https://qa-ford.emplifiknowledge.com/graphql,657,0
1706787282530,690,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5790,1,7,https://qa-ford.emplifiknowledge.com/graphql,690,0
1706787282626,3422,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,457897,1,7,https://qa-ford.emplifiknowledge.com/graphql,2278,0
1706787282948,604,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,117032,1,7,https://qa-ford.emplifiknowledge.com/graphql,476,0
1706787282642,3439,Topics,200,OK,Topics 2-1,text,true,,5207976,1,7,https://qa-ford.emplifiknowledge.com/graphql,1772,0
